arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,galenframework_galen__7567dd8d2f,galenframework_galen__7567dd8d2f__galen-core_src_main_java_com_galenframework_speclang2_specs_SpecImageProcessor.java,galen-core/src/main/java/com/galenframework/speclang2/specs/SpecImageProcessor.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.809
ctl,galenframework_galen__7567dd8d2f,galenframework_galen__7567dd8d2f__galen-core_src_test_java_com_galenframework_tests_speclang2_SpecsReaderV2Test.java,galen-core/src/test/java/com/galenframework/tests/speclang2/SpecsReaderV2Test.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,78.8
ctl,gitools_gitools__8f2043e3c5,gitools_gitools__8f2043e3c5__org.gitools.ui.app_src_main_java_org_gitools_ui_app_fileimport_wizard_text_ListItemTransferHandler.java,org.gitools.ui.app/src/main/java/org/gitools/ui/app/fileimport/wizard/text/ListItemTransferHandler.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.137
ctl,gitools_gitools__9f09acdad0,gitools_gitools__9f09acdad0__org.gitools.ui.app_src_main_java_org_gitools_ui_app_actions_Actions.java,org.gitools.ui.app/src/main/java/org/gitools/ui/app/actions/Actions.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.875
ctl,glenkpeterson_j-sicle__8ad8d6f00e,glenkpeterson_j-sicle__8ad8d6f00e__src_test_java_org_organicdesign_fp_permanent_SequenceTest.java,src/test/java/org/organicdesign/fp/permanent/SequenceTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.291
ctl,google_truth__2bb82cafdf,google_truth__2bb82cafdf__src_main_java_org_junit_contrib_truth_subjects_IterableSubject.java,src/main/java/org/junit/contrib/truth/subjects/IterableSubject.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.8
ctl,google_truth__6bba06199f,google_truth__6bba06199f__core_src_main_java_com_google_common_truth_Truth.java,core/src/main/java/com/google/common/truth/Truth.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,77.038
ctl,googlecloudplatform_gcloud-java__1fa53a817a,googlecloudplatform_gcloud-java__1fa53a817a__gcloud-java-storage_src_main_java_com_google_gcloud_storage_StorageImpl.java,gcloud-java-storage/src/main/java/com/google/gcloud/storage/StorageImpl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.734
ctl,googlecloudplatform_gcloud-maven-plugin__990444129c,googlecloudplatform_gcloud-maven-plugin__990444129c__src_main_java_com_google_appengine_gcloudapp_AbstractGcloudMojo.java,src/main/java/com/google/appengine/gcloudapp/AbstractGcloudMojo.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.497
ctl,graphity_graphity-client__2a8e8c75e9,graphity_graphity-client__2a8e8c75e9__src_main_java_org_graphity_util_XSLTBuilder.java,src/main/java/org/graphity/util/XSLTBuilder.java,conflict,,,,,,DIVERGED,0.314
ctl,greese_dasein-cloud-core__5fe1190801,greese_dasein-cloud-core__5fe1190801__src_main_java_org_dasein_cloud_compute_MachineImageSupport.java,src/main/java/org/dasein/cloud/compute/MachineImageSupport.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.914
ctl,gwtbootstrap3_gwtbootstrap3__d558959ad2,gwtbootstrap3_gwtbootstrap3__d558959ad2__gwtbootstrap3_src_main_java_org_gwtbootstrap3_client_ui_SimpleCheckBox.java,gwtbootstrap3/src/main/java/org/gwtbootstrap3/client/ui/SimpleCheckBox.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.525
ctl,gwtbootstrap3_gwtbootstrap3__d558959ad2,gwtbootstrap3_gwtbootstrap3__d558959ad2__gwtbootstrap3_src_main_java_org_gwtbootstrap3_client_ui_SimpleRadioButton.java,gwtbootstrap3/src/main/java/org/gwtbootstrap3/client/ui/SimpleRadioButton.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.849
ctl,hdrhistogram_hdrhistogram__4faeeb6c17,hdrhistogram_hdrhistogram__4faeeb6c17__src_main_java_org_HdrHistogram_HistogramLogProcessor.java,src/main/java/org/HdrHistogram/HistogramLogProcessor.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.693
ctl,hdrhistogram_hdrhistogram__6debea175f,hdrhistogram_hdrhistogram__6debea175f__src_main_java_org_HdrHistogram_AbstractHistogram.java,src/main/java/org/HdrHistogram/AbstractHistogram.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.068
ctl,hdrhistogram_hdrhistogram__6debea175f,hdrhistogram_hdrhistogram__6debea175f__src_main_java_org_HdrHistogram_DoubleHistogram.java,src/main/java/org/HdrHistogram/DoubleHistogram.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.194
ctl,hdrhistogram_hdrhistogram__beadadbe25,hdrhistogram_hdrhistogram__beadadbe25__src_main_java_org_HdrHistogram_AbstractHistogram.java,src/main/java/org/HdrHistogram/AbstractHistogram.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,82.535
ctl,imixs_imixs-workflow__dfb841cc6c,imixs_imixs-workflow__dfb841cc6c__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneIndexService.java,imixs-workflow-index-lucene/src/main/java/org/imixs/workflow/engine/lucene/LuceneIndexService.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.738
ctl,jalkanen_speed4j__18370b9544,jalkanen_speed4j__18370b9544__src_main_java_com_ecyrd_speed4j_log_PeriodicalLog.java,src/main/java/com/ecyrd/speed4j/log/PeriodicalLog.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,77.684
ctl,jasig_java-cas-client__9714053f07,jasig_java-cas-client__9714053f07__cas-client-core_src_main_java_org_jasig_cas_client_util_CommonUtils.java,cas-client-core/src/main/java/org/jasig/cas/client/util/CommonUtils.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,76.171
ctl,jasig_java-cas-client__9714053f07,jasig_java-cas-client__9714053f07__cas-client-core_src_test_java_org_jasig_cas_client_util_CommonUtilsTests.java,cas-client-core/src/test/java/org/jasig/cas/client/util/CommonUtilsTests.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.411
ctl,javaparser_javaparser__091c0fab6e,javaparser_javaparser__091c0fab6e__javaparser-core_src_main_java_com_github_javaparser_PositionUtils.java,javaparser-core/src/main/java/com/github/javaparser/PositionUtils.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,73.042
ctl,javaparser_javaparser__8ca0e9b6ea,javaparser_javaparser__8ca0e9b6ea__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_JavaParserFacade.java,javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/JavaParserFacade.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,85.14
