merge_id,repository,merge_sha,left,right,stratum,num_intersecting_files,files_materialized,order
jooq_jooq__5f4dfc1f99,jooq/jooq,5f4dfc1f99631f8e88dd1a315ae2feec32f39877,cfe5f0cd74602d108a2322458e7f81f141cde077,9ce76a4008abc9fb2ed75254e0f613a4fa31a1fa,le3,2,1,40
addthis_stream-lib__644e4e9be4,addthis/stream-lib,644e4e9be40e0eb69a9aef6acee6ca28643f174b,e221cb6ab7841007e68d9a6e215f39600ff27502,35816a5396ba66280229d3b0d1c8570f62b6ae4a,le3,2,1,41
tcurdt_jdeb__d9b8ae4994,tcurdt/jdeb,d9b8ae4994ed1a742e205d42e49babeffe200531,bf268c7c1ae38c40712233a8f3070735e590613e,5152ce927699e6c9ebf7285232076dca8616a1f1,le3,3,2,42
marginallyclever_makelangelo__d5dbffab93,marginallyclever/makelangelo,d5dbffab935717a2ecbe13a684f6ccc042c44f0b,3a3ba9b2581469975322cf77620c5ea362071792,b7c10bb453fb97867c1a9e1ce574424692bb3036,gt3,5,3,43
seanchenxi_gwt-storage__8ce0dc7d79,seanchenxi/gwt-storage,8ce0dc7d7973f330a05563badf54037c90cd129b,87b4707591b8e61609aa40f3a8c37568e3702e9a,f0e679c108f9bdb7a7246cc863643addcf8b5cb1,le3,3,2,44
feroult_yawp__8518960a9a,feroult/yawp,8518960a9a916ec76f31751c722d21c61edf422f,f1651b21c5005679eb39bc2b490b5aa80661859f,4b84185ce248d9af69219cd24c89e53eda6b2548,gt3,5,4,45
tdunning_t-digest__396e56c59c,tdunning/t-digest,396e56c59c883e657776cd2b3e915f5d30dee5ec,c5342cc739b07c100a4ea194f77f1527b75626a3,a0360a481db2005674f43f28a8020f1b27cde83e,gt3,4,3,46
openpnp_openpnp__46ba03734f,openpnp/openpnp,46ba03734f756b19b409a04c138b3d945170bc07,f9739f803f5035812bf20cb6210849df8568ee0a,de54e679eaa37d86da4592c4f84ce9a4f0793e47,le3,3,2,47
jgralab_jgralab__f8c57c3bef,jgralab/jgralab,f8c57c3bef325c131cee3e28aa59c22377ca4ba1,38c4420a04fe3eaee476aa33fe789c1d5d849eeb,90e66dc45f7df2740aa1101cd94a75f236dbdb08,gt3,7,6,48
skyscreamer_jsonassert__b4513d8349,skyscreamer/jsonassert,b4513d8349f0a0919e05f956568955dec673b75c,9771c1904ea159f79dbaab6bbefae53db851ceb8,3b854c0bfdb2f5b915984d15ec8ea12f5b794235,le3,2,1,49
jenkinsci_coverity-plugin__cba2ffdc45,jenkinsci/coverity-plugin,cba2ffdc456e11aef169b7e469f3605f8874f05e,d038bcb4783075006a5de4357420c0d68ee55748,96d1c65d39ed91d19bfc1a5c69cb51034452cbe5,gt3,9,8,50
release-engineering_pom-manipulation-ext__9800d78d1f,release-engineering/pom-manipulation-ext,9800d78d1ffb2a4c1b1bd0aab55bf9793961f724,6334195991f442756b3594898b61b0ba6cfd3621,6b4cb89f926efcb040f9795d473afb6db51f69bb,le3,2,1,51
scifio_scifio__60c3e1f8bb,scifio/scifio,60c3e1f8bbb3be0292e64e8c059f805299c1c17e,bf964aab86313d499313c5c4b4a0a40b27497d72,81981bd0fc59c0dd3c3b04aca5e25d41a4413646,le3,2,1,52
xerial_sqlite-jdbc__c4dddf0c09,xerial/sqlite-jdbc,c4dddf0c09cb413cb15802097063070ae190a126,1704db637e1d7abc006fba836f8e49732642221e,76b90f7be018ddd98978e9f60a5fd7fff68ed916,le3,3,1,53
jhalterman_expiringmap__a0c2e3e6a0,jhalterman/expiringmap,a0c2e3e6a0995582ef1199db7c250f9883b075ea,6cb40a4752c7391c5a4d308d5737639e26dc1815,b6a544d640196f96fc91e21c8227735781a1a0f2,le3,2,1,54
graphaware_neo4j-noderank__01ca7a83ca,graphaware/neo4j-noderank,01ca7a83cadb126fcef90405f4a8036ac2a22a02,b78badfb88462adb87978da091e7b7213e3aa6a1,19602ad06a849def37a2de307a320871c1328fa2,le3,3,1,55
mrcookieslime_slimefun-3.0__ec3ce7315e,mrcookieslime/slimefun-3.0,ec3ce7315e88363288083cba68eb5daeb6054c2a,77f2c91d05c656524a40de0ad04a24cd5ce55c3e,8d72b90addb10685ed4de5f4cad4b44ad0b39677,le3,2,1,56
simmetrics_simmetrics__a0857905c0,simmetrics/simmetrics,a0857905c0446c61e7f264aea4138a5cc0d2a2b5,4e647c4e54524f977a71d09a34624261f225d81b,ab3332f7038654d70023b9438597bc305e844503,le3,2,1,57
