config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt,route_effective,lanes,flags
driver-auto-off,pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-testing_src_test_java_com_github_javaparser_symbolsolver_resolution_AnalyseJavaSymbolSolver060Test.java,clean,,FP,test-label,78.65,mergiraf,,
driver-auto-off,pos,javaparser_javaparser__a23c6aa3b8,javaparser_javaparser__a23c6aa3b8__javaparser-testing_src_test_java_com_github_javaparser_bdd_steps_DumpingSteps.java,clean,,FP,test-label,73.51,mergiraf,,
driver-auto-off,pos,javaparser_javaparser__dc6254f1bf,javaparser_javaparser__dc6254f1bf__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_declarations_JavaParserSymbolDeclaration.java,clean,,FP,test-label,73.722,mergiraf,,
driver-auto-off,pos,javaparser_javaparser__ff91564b7f,javaparser_javaparser__ff91564b7f__javaparser-core-testing_src_test_java_com_github_javaparser_modules_ModuleDeclarationTest.java,clean,,FP,test-label,76.07,mergiraf,,
driver-auto-off,pos,jboss-msc_jboss-msc__1d9b8d45ff,jboss-msc_jboss-msc__1d9b8d45ff__src_main_java_org_jboss_msc_service_BatchInjectionBuilderImpl.java,conflict,textual,FN,dev-match,73.069,git,,
driver-auto-off,pos,jboss-msc_jboss-msc__a4e21a3b10,jboss-msc_jboss-msc__a4e21a3b10__src_main_java_org_jboss_msc_service_ServiceContainerImpl.java,clean,,FP,test-label,78.932,git,,
driver-auto-off,pos,jboss-remoting_jboss-remoting__66a0631d13,jboss-remoting_jboss-remoting__66a0631d13__src_main_java_org_jboss_remoting3_RemotingXmlParser.java,clean,,FP,test-label,76.194,git,,
driver-auto-off,pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_main_java_com_jcabi_github_Gist.java,clean,,FP,test-label,74.344,mergiraf,,
driver-auto-off,pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_test_java_com_jcabi_github_RtGistITCase.java,conflict,semantic,TN,dev-match,73.855,mergiraf,RM2RenameConflict,RM2RenameConflict L82: Stale caller of renamed identifier: 'gist' (renamed to 'github') still referenced at this line.
driver-auto-off,pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtIssueITCase.java,conflict,textual,TN,dev-match,71.003,git,,
driver-auto-off,pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtMilestonesITCase.java,clean,,FP,test-label,74.024,mergiraf,,
driver-auto-off,pos,jcabi_jcabi-github__e18a8ffd16,jcabi_jcabi-github__e18a8ffd16__src_test_java_com_jcabi_github_RtHooksITCase.java,conflict,semantic,TN,dev-match,73.585,mergiraf,RM2RenameConflict,RM2RenameConflict L60: Stale caller of renamed identifier: 'repo' (renamed to 'repos') still referenced at this line. | RM2RenameConflict L99: Stale caller of renamed identifier: 'repo' (renamed to 'repos') still referenced at this line. | RM2RenameConflict L122: Stale caller of renamed identifier: 'repo' (renamed to 'repos') still referenced at this line. | RM2RenameConflict L154: Stale caller of renamed identifier: 'repo' (renamed to 'repos') still referenced at this line.
driver-auto-off,pos,jcabi_jcabi-http__0c63dd0c75,jcabi_jcabi-http__0c63dd0c75__src_main_java_com_jcabi_http_mock_MkQueryMatchers.java,clean,,TP,dev-match,71.637,git,,
driver-auto-off,pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_Main.java,clean,,FP,test-label,76.24,git,,
driver-auto-off,pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_master_api_web_ApiServer.java,conflict,textual,FN,dev-match,71.515,git,,
driver-auto-off,pos,jenkinsci_coverity-plugin__2fb8690816,jenkinsci_coverity-plugin__2fb8690816__src_main_java_jenkins_plugins_coverity_CoverityTool_CoverityToolHandler.java,clean,,FP,test-label,79.808,git,,
driver-auto-off,pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_main_java_jenkins_plugins_coverity_ws_DefectReader.java,clean,,FP,test-label,77.129,mergiraf,,
driver-auto-off,pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_test_java_jenkins_plugins_coverity_ws_DefectReaderTest.java,clean,,FP,test-label,76.187,git,,
driver-auto-off,pos,jenkinsci_credentials-plugin__b9cb5f9d1b,jenkinsci_credentials-plugin__b9cb5f9d1b__src_test_java_com_cloudbees_plugins_credentials_casc_CredentialsCategoryTest.java,clean,,FP,test-label,74.233,mergiraf,,
driver-auto-off,pos,jenkinsci_docker-build-publish-plugin__59faa9673c,jenkinsci_docker-build-publish-plugin__59faa9673c__src_main_java_com_cloudbees_dockerpublish_DockerBuilder.java,clean,,FP,test-label,81.827,mergiraf,,
driver-auto-off,pos,jenkinsci_email-ext-plugin__4def0e56a8,jenkinsci_email-ext-plugin__4def0e56a8__src_test_java_hudson_plugins_emailext_recipients_EmailRecipientUtilsTest.java,clean,,FP,test-label,77.151,git,,
driver-auto-off,pos,jenkinsci_jira-plugin__0eec353cb5,jenkinsci_jira-plugin__0eec353cb5__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,82.203,git,,
driver-auto-off,pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraChangeLogAnnotator.java,clean,,FP,test-label,76.162,git,,
driver-auto-off,pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,81.779,mergiraf,,
driver-auto-off,pos,jenkinsci_ldap-plugin__3eee59e25a,jenkinsci_ldap-plugin__3eee59e25a__src_main_java_hudson_security_LDAPSecurityRealm.java,clean,,FP,test-label,92.339,mergiraf,,
driver-auto-off,pos,jenkinsci_ui-samples-plugin__81bf937a3d,jenkinsci_ui-samples-plugin__81bf937a3d__src_main_java_io_jenkins_plugins_designlibrary_Root.java,conflict,textual,TN,dev-match,72.073,git,,
driver-auto-off,pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_main_java_jline_console_ConsoleReader.java,clean,,FP,test-label,105.321,mergiraf,,
driver-auto-off,pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_test_java_jline_console_ConsoleReaderTestSupport.java,clean,,FP,test-label,76.367,git,,
