merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
haraldwalker_user-agent-utils__eaaaa1488b,A,3,scored,derivation,2,2,0,,T2,16967,0
kongchen_swagger-maven-plugin__1e61731653,A,2,scored,heldout,1,1,0,,T0,9061,0
kongchen_swagger-maven-plugin__3d2ea22d07,A,2,scored,derivation,1,1,0,,T0,8977,0
kongchen_swagger-maven-plugin__10c79c6df1,B,5,scored,derivation,3,3,0,,T2,24429,0
joel-costigliola_assertj-core__d3dab0d22c,B,9,scored,heldout,8,8,0,,T2,23475,0
joel-costigliola_assertj-core__74baae279d,A,3,scored,derivation,2,1,1,conflict,T0,13280,0
joel-costigliola_assertj-core__a3011e7f9e,B,15,scored,derivation,11,9,2,conflict,T3/cap1,8579,0
joel-costigliola_assertj-core__df351133a9,B,16,scored,derivation,15,13,2,conflict,T3/cap5,28953,0
joel-costigliola_assertj-core__d04568906e,B,4,scored,heldout,3,3,0,,T0,27594,0
joel-costigliola_assertj-core__1b4ad829f3,A,2,scored,heldout,1,1,0,,T0,13335,0
j256_ormlite-core__606986f118,A,2,scored,derivation,1,1,0,,T0,24326,0
j256_ormlite-core__2c159335d4,A,2,scored,derivation,1,1,0,,T0,7970,0
logstash_log4j-jsonevent-layout__ee90110799,B,4,scored,derivation,2,1,1,conflict,T0,7763,0
scribble_scribble-java__e72f7c9c06,B,6,scored,heldout,2,1,1,conflict,T0,13252,0
tumblr_jumblr__31bd6f8335,A,3,scored,derivation,2,2,0,,T0,6778,0
camsys_onebusaway-application-modules__e779e9fce1,A,2,scored,derivation,1,1,0,,T0,4649,0
camsys_onebusaway-application-modules__915e2f3ffe,A,2,scored,derivation,1,1,0,,T0,5584,0
jenkinsci_credentials-plugin__e9cf377a17,B,8,scored,derivation,7,7,0,,T2,18707,0
jenkinsci_credentials-plugin__b9cb5f9d1b,A,2,scored,heldout,1,1,0,,T0,7745,0
openpnp_openpnp__a3cca4daba,A,3,scored,derivation,2,1,1,conflict,T0,14200,0
openpnp_openpnp__fb30708fe0,A,2,scored,heldout,1,1,0,,T0,14023,0
openpnp_openpnp__b62c0ce826,B,4,scored,derivation,3,3,0,,T0,19469,0
openpnp_openpnp__93126880a6,A,3,scored,derivation,1,1,0,,T0,26955,0
openpnp_openpnp__a43f3e919e,B,5,scored,derivation,4,4,0,,T3/cap1/trunc400,15916,0
apache_cayenne__f10ba77a97,B,4,scored,derivation,3,3,0,,T0,20214,0
elisarver_selophane__4ecc600017,A,3,scored,derivation,2,2,0,,T0,5897,0
sps_pushover4j__88cd636fab,A,3,scored,derivation,2,1,1,conflict,T0,5828,0
segmentio_analytics-java__0d4a7b4e69,A,3,scored,derivation,2,2,0,,T2,17824,0
mercadopago_sdk-java__9dfc950fd2,B,4,scored,derivation,3,3,0,,T2,20142,0
mercadopago_sdk-java__b7498c6f9d,A,2,scored,derivation,1,1,0,,T0,5244,0
vkostyukov_la4j__843d8ff9de,B,11,scored,derivation,9,9,0,,T2,20040,0
vkostyukov_la4j__d216aa8928,A,3,scored,derivation,2,2,0,,T0,12717,0
mixpanel_mixpanel-java__bcdd1ed28f,A,2,scored,derivation,1,1,0,,T0,4172,0
jenkinsci_coverity-plugin__62bdb6232e,A,3,scored,derivation,2,2,0,,T0,12221,0
jenkinsci_coverity-plugin__2fb8690816,A,2,scored,heldout,1,1,0,,T0,8430,0
jenkinsci_coverity-plugin__5846a9f06a,B,9,scored,heldout,8,8,0,,T3/cap5,29026,0
nuodb_migration-tools__2e1f6973c4,A,2,scored,derivation,1,1,0,,T0,4763,0
dtrules_dtrules__505c5cbf82,A,2,scored,derivation,1,1,0,,T0,3665,0
jadler-mocking_jadler__294a06c3fc,A,2,scored,derivation,1,1,0,,T0,13515,0
datastax_java-driver__725b790a79,A,3,dropped_divergence,,1,0,1,conflict,,,
